A010903,PENTECOST CHURCH BOAKWAW,Ghana,WESTERN ,JOMORO,JOMORO,
A011001,EHWIE'S COMPOUND BEYIN TAKINTA,Ghana,WESTERN ,JOMORO,JOMORO,
A011002,MR TECHIE'S COMP BOLEFOLE-SUAZO TAKINTA,Ghana,WESTERN ,JOMORO,JOMORO,
A011003,MR ANZELE'S COMPOUND KUMASI TAKINTA,Ghana,WESTERN ,JOMORO,JOMORO,
A011004,ENJOY INN SPOT BEKWAE TAKINTA,Ghana,WESTERN ,JOMORO,JOMORO,
A011101,MARKET SQUARE OLD KABENLASUAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A011102,BLAY CHI SPOT NEW KABENLASUAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A011103,NIGHT MARTKET SQUARE NEW KABENLASUAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A011104,COMMUNITY CENTER A EGBAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A011105,COMMUNITY CENTRE B EGBAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A011106,COMMUNITY MARKET AHOBRE NO.1,Ghana,WESTERN ,JOMORO,JOMORO,
A011201,D/A PRIM SCH ADUSUAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A011202,MARKET SQUARE ADUSUAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A011203,NEAR THE BASE SPOT ADUSUAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A011301,COMMUNITY CENTER AHOBRE,Ghana,WESTERN ,JOMORO,JOMORO,
A011302,RC CHURCH AHOBRE,Ghana,WESTERN ,JOMORO,JOMORO,
A011303,MARKET SQUARE AHOBRE,Ghana,WESTERN ,JOMORO,JOMORO,
A011304,SANE AFO'S COMPOUND AHOBRE,Ghana,WESTERN ,JOMORO,JOMORO,
A011305,MARKET SQUARE OLD EDOBO,Ghana,WESTERN ,JOMORO,JOMORO,
A011306,NEAR CHIEF'S PALACE NEW EDOBO,Ghana,WESTERN ,JOMORO,JOMORO,
A011307,MARKET SQUARE ATWEBANSO,Ghana,WESTERN ,JOMORO,JOMORO,
A011401,MARKET SQUARE BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011402,R/C JHS ACKASUAZO EAST BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011403,R/C PRIM SCH BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011501,POST OFFICE ZONGO EAST BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011502,CARPENTER MIEZAH'S SQUARE ZONGO WEST BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011503,OLD LOCAL COUNCIL OFFCE BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011601,KABENLA AZANE'S  RESIDENCE EKEGYINA AND BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011602,PALACE SQUARE BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011603,R/C JHS BLOCK A BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011604,RC JHS BLK B BONYERE,Ghana,WESTERN ,JOMORO,JOMORO,
A011605,R/C CHURCH NDUMSUAZO UPPER,Ghana,WESTERN ,JOMORO,JOMORO,
A011606,KETIBOAH'S SQUARE NDUMSUAZO LOWER,Ghana,WESTERN ,JOMORO,JOMORO,
A011607,R/C PRIMARY SCHOOL NAWULLEY JUNCTION,Ghana,WESTERN ,JOMORO,JOMORO,
A011701,BLAY MIEZAH SQUARE EZINLIBO,Ghana,WESTERN ,JOMORO,JOMORO,
A011702,DANYI ANYIMAH SQUARE. COMM 2 ALLUKU EZINLIBO,Ghana,WESTERN ,JOMORO,JOMORO,
A011703,HOAMIA-KYI SQUARE COMMUNITY 3 ALLUKU EZINLIBO,Ghana,WESTERN ,JOMORO,JOMORO,
A011704,OLD MARKET SQUARE COMMUNITY 1 EZINLIBO AGONLA,Ghana,WESTERN ,JOMORO,JOMORO,
A011705,KANRA EKYI'S SQUARE COMM 2 AGONLA EZINLIBO,Ghana,WESTERN ,JOMORO,JOMORO,
A011706,METHODIST CHURCH SQUARE (COMM 3 AGONLA ) EZINLIBO,Ghana,WESTERN ,JOMORO,JOMORO,
A011801,CHIEF'S PLACE SQUARE. 1 TIKOBO NO.1,Ghana,WESTERN ,JOMORO,JOMORO,
A011802,CHIEF'S PLACE SQUARE. 2 TIKOBO NO.1,Ghana,WESTERN ,JOMORO,JOMORO,
A011803,D/A PRIM SCH BLK A. 1 TIKOBO NO.1,Ghana,WESTERN ,JOMORO,JOMORO,
A011804,D/A PRIM SCH BLK A. 2 TIKOBO NO.1,Ghana,WESTERN ,JOMORO,JOMORO,
A011805,D/A PRIM SCHOOL BLK B. 1 TIKOBO NO.1,Ghana,WESTERN ,JOMORO,JOMORO,
A011806,D/A PRIM SCHOOL BLK B. 2 TIKOBO NO.1,Ghana,WESTERN ,JOMORO,JOMORO,
A011807,OLD MARKET SQUARE TIKOBO NO.1,Ghana,WESTERN ,JOMORO,JOMORO,
A011901,R/C PRIM SCHOOL ELLENDA,Ghana,WESTERN ,JOMORO,JOMORO,
A011902,D/A JHS BLOCK  A  ELLENDA,Ghana,WESTERN ,JOMORO,JOMORO,
A011903,D/A JHS BLOCK  B  ELLENDA,Ghana,WESTERN ,JOMORO,JOMORO,
A011904,COCOA SHED ELLENDA WHARF,Ghana,WESTERN ,JOMORO,JOMORO,
A012001,D/A JHS ALLOWULEY,Ghana,WESTERN ,JOMORO,JOMORO,
A012002,AKENYA ADONLE'S RESIDENCE,Ghana,WESTERN ,JOMORO,JOMORO,
A012003,MARKET SQUARE EHOAKA,Ghana,WESTERN ,JOMORO,JOMORO,
A012004,M/A PRIM SCH EHOAKA,Ghana,WESTERN ,JOMORO,JOMORO,
A012101,MAME KONE ADWO'S RESIDENCE A TWINEN,Ghana,WESTERN ,JOMORO,JOMORO,
A012102,PUBLIC SQUARE TWINEN,Ghana,WESTERN ,JOMORO,JOMORO,
A012103,PUBLIC SQUARE AGYEZA,Ghana,WESTERN ,JOMORO,JOMORO,
A012104,MARKET SQUARE ALLENGENZULLEY,Ghana,WESTERN ,JOMORO,JOMORO,
A012201,MARKET SQUARE NAWULLEY,Ghana,WESTERN ,JOMORO,JOMORO,
A012202,EBANYENLE SQUARE NAWULLEY,Ghana,WESTERN ,JOMORO,JOMORO,
A012301,INFORMATION CENTRE BEYIN,Ghana,WESTERN ,JOMORO,JOMORO,
A012302,MARKET SQUARE BEYIN,Ghana,WESTERN ,JOMORO,JOMORO,
A012303,EGYA BONZO'S RESIDENCE,Ghana,WESTERN ,JOMORO,JOMORO,
A012304,PUBLIC SQUARE MAYEGYINA,Ghana,WESTERN ,JOMORO,JOMORO,
A012305,PUBLIC SQUARE EKABAKU,Ghana,WESTERN ,JOMORO,JOMORO,
A012306,R/C JHS BEYIN,Ghana,WESTERN ,JOMORO,JOMORO,
A012307,MARKET SQUARE NGELEKAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A012401,MARKET SQUARE ELLONYI NO. 1,Ghana,WESTERN ,JOMORO,JOMORO,
A012402,PALACE SQUARE ELLONYI NO. 2,Ghana,WESTERN ,JOMORO,JOMORO,
A012403,PUBLIC SQUARE ELLONYI NO.3,Ghana,WESTERN ,JOMORO,JOMORO,
A012404,BEYELAKAH'S SQUARE ELLONYI NO.4,Ghana,WESTERN ,JOMORO,JOMORO,
A012405,ST. MARY'S CATHOLIC CHURCH KENGEN,Ghana,WESTERN ,JOMORO,JOMORO,
A012406,R/C MISSION HOUSE KENGEN,Ghana,WESTERN ,JOMORO,JOMORO,
A012407,EHOMA TOM SQUARE KENGEN,Ghana,WESTERN ,JOMORO,JOMORO,
A012408,MARKET SQUARE KENGEN,Ghana,WESTERN ,JOMORO,JOMORO,
A012501,R/C PRIM SCHOOL NUBA A,Ghana,WESTERN ,JOMORO,JOMORO,
A012502,R/C JHS SCH NUBA,Ghana,WESTERN ,JOMORO,JOMORO,
A012503,R/C CHURCH NUBA. 1,Ghana,WESTERN ,JOMORO,JOMORO,
A012504,R/C CHURCH NUBA. 2,Ghana,WESTERN ,JOMORO,JOMORO,
A012601,D/A PRIMARY SCH ANWIAFUTU,Ghana,WESTERN ,JOMORO,JOMORO,
A012602,D/A JHS ANWIAFUTU JUNCTION,Ghana,WESTERN ,JOMORO,JOMORO,
A012603,D/A PRIM SCHOOL ANKASA,Ghana,WESTERN ,JOMORO,JOMORO,
A012604,D/A PRIN SCH KWABILE,Ghana,WESTERN ,JOMORO,JOMORO,
A012701,COMMUNITY CENTRE MPATABA. 1,Ghana,WESTERN ,JOMORO,JOMORO,
A012702,COMMUNITY  CENTRE MPATABA. 2,Ghana,WESTERN ,JOMORO,JOMORO,
A012703,MING DAWN ICT CENTRE MPATABA. 1,Ghana,WESTERN ,JOMORO,JOMORO,
A012704,MING DAWN ICT CENTRE MPATABA. 2,Ghana,WESTERN ,JOMORO,JOMORO,
A012801,D/A PRIM SCHOOL. MPATABA COMPOUND,Ghana,WESTERN ,JOMORO,JOMORO,
A012802,MARKET SQUARE SOWODADZEM. 1,Ghana,WESTERN ,JOMORO,JOMORO,
A012803,MARKET SQUARE SOWODADZEM. 2,Ghana,WESTERN ,JOMORO,JOMORO,
A012804,D/A PRIM SCH AMOKWAWSUAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A012805,D/A PRIM SCH OLD ANKASA,Ghana,WESTERN ,JOMORO,JOMORO,
A012806,COMMUNITY CENTRE MPATABA MILE 5,Ghana,WESTERN ,JOMORO,JOMORO,
A012807,D/A PRIM SCH NAVRONGO TWEAKO,Ghana,WESTERN ,JOMORO,JOMORO,
A012901,MANS PRIM. SCH.. AHUMASUAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A012902,OLD PRIM. SCH. TEACHER'S QUARETERS AHUMASUAZO,Ghana,WESTERN ,JOMORO,JOMORO,
A012903,D/C PRIM SCHOOL. AZULETI,Ghana,WESTERN ,JOMORO,JOMORO,
A012904,D/A JHS SAMANYE EAST,Ghana,WESTERN ,JOMORO,JOMORO,
A012905,D/A PRIM. SCH. SAMANYE EAST,Ghana,WESTERN ,JOMORO,JOMORO,
A012906,MARKET SQUARE SAMENYE WEST,Ghana,WESTERN ,JOMORO,JOMORO,
A012907,MARKET SQUARE TWEAKO NAVRONGO. 1,Ghana,WESTERN ,JOMORO,JOMORO,
A012908,MARKET SQUARE TWEAKO NAVRONGO. 2,Ghana,WESTERN ,JOMORO,JOMORO,
A013001,NANA NDA BILE JHS TIKOBO NO.2,Ghana,WESTERN ,JOMORO,JOMORO,
A013002,ANGLICAN PRIM. SCH. TIKOBO NO.2,Ghana,WESTERN ,JOMORO,JOMORO,
A013003,COMMUNITY CENTRE TIKOBO NO.2,Ghana,WESTERN ,JOMORO,JOMORO,
A013004,D/A JHS SCH TIKOBO NO.2,Ghana,WESTERN ,JOMORO,JOMORO,
A013005,NANA ARVONWEA BASIC SCH. FOREST JUNCTION,Ghana,WESTERN ,JOMORO,JOMORO,
A013101,MARKET SQUARE NVELLENU,Ghana,WESTERN ,JOMORO,JOMORO,
A013102,MARKET SQUARE BAWIA,Ghana,WESTERN ,JOMORO,JOMORO,
A013103,D/A PRIM SCHOOL EBONLOA,Ghana,WESTERN ,JOMORO,JOMORO,
A013104,MARKET SQUARE MBEM,Ghana,WESTERN ,JOMORO,JOMORO,
A013201,ASIKOFI SQUARE A ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013202,VODAFONE HSE ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013203,ASIKOFI SQUARE B ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013204,FIRE SERVICE  ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013205,PUBLIC SQUARE  A ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013206,PUBLIC SQUARE B ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013207,PARLIAMENT HSE ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013208,SDA PRIM SCH ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013209,SDA JHS ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013210,WISE INT SCH ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013211,GOVT HOSPITAL ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013212,GOVT MATERNITY SQUARE ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013213,NEW GENERATION COMPLEX SCH. ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013214,JESUS NEVER FAILS JHS ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013301,R/C PRIM SCH BLOCK  A  1 ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013302,R/C PRIM SCH BLOCK  A  2 ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013303,R/C PRIM SCH BLOCK  B  1 ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013304,R/C PRIM SCH BLOCK  B  2 ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013305,R/C PRIM SCH BLOCK  C  1 ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013306,R/C PRIM SCH  BLOCK  C  2 ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013307,R/C PRIM SCH BLOCK   D  ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013308,R/C JHS SCH  A  ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013309,I.C.T CENTRE ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013310,R/C JHS  BLOCK.  B  1 ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013311,R/C JHS BLOCK.  B  2 ELUBO,Ghana,WESTERN ,JOMORO,JOMORO,
A013401,PUBLIC SQUARE ALABOWALE,Ghana,WESTERN ,JOMORO,JOMORO,
A013402,M/A PRIM SCH. GYEGYEKROM,Ghana,WESTERN ,JOMORO,JOMORO,
A013403,KOJO BLACK KILOMETER 5,Ghana,WESTERN ,JOMORO,JOMORO,
A013404,R/C PRIM SCH NUNGUA,Ghana,WESTERN ,JOMORO,JOMORO,
A013405,MARKET SQUARE NUNGUA,Ghana,WESTERN ,JOMORO,JOMORO,
A013406,R/C JHS NUNGUA,Ghana,WESTERN ,JOMORO,JOMORO,
A013407,R/C PRIM SCH COCOA TOWN,Ghana,WESTERN ,JOMORO,JOMORO,
A013408,MARKET SQUARE COCOA TOWN,Ghana,WESTERN ,JOMORO,JOMORO,
A013409,PUBLIC SQUARE MPASEM,Ghana,WESTERN ,JOMORO,JOMORO,
A013410,COCOA SHED NSUOANO/BRIDGE SO,Ghana,WESTERN ,JOMORO,JOMORO,
A013411,MARKET SQUARE NSUANO/BRIDGE SO,Ghana,WESTERN ,JOMORO,JOMORO,
A013412,M/A PRIM. SCH. DORMEABRA,Ghana,WESTERN ,JOMORO,JOMORO,
A020101,METH. PRIM SCH. KIKAM,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020102,COMM SHED. KIKAM,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020103,SDA PRIM SCH. KIKAM,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020104,DAY CARE CENTRE. ASEMKO,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020201,SDA PRIM SCH . ASENTA 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020202,SDA PRIM SCH . ASENTA 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020203,CATH PRIM . ASENTA 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020204,CATH PRIM .  ASENTA 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020301,RC PRIM SCH SAWOMA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020302,METHODIST CHURCH SAWOMA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020303,MARKET CENTRE ASANTA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020304,NURSERY SCHOOL BOBRAMA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020401,ESIAMA CLINIC . ESIAMA 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020402,ESIAMA CLINIC . ESIAMA 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020403,CATH JHS. ESIAMA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020501,CATH PRIM SCH. ESIAMA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020502,MARKET CENTRE. ESIAMA 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020503,MARKET CENTRE. ESIAMA 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020504,POST OFFICE. ESIAMA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020601,ANGLICAN PRIM SCH. ESIAMA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020602,ESIAMA SEC TECH. ESIAMA 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020603,ESIAMA SEC TECH. ESIAMA 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020604,SDA PRIM SCH. ESIAMA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020701,D/C PRIM SCH. KAMGBUNLI,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020702,OLD MOSQUE. KAMGBUNLI,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020703,AGRIC QUARTERS. KAMGBUNLI,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020801,CATH PRIM SCH AMPAIN,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020802,COMM SHED AZULELOANU 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020803,COMM SHED AZULELOANU 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020901,NKRUMAH DAY CARE NKROFUL 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020902,NKRUMAH DAY CARE NKROFUL 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020903,MARKET CENTRE NKROFUL 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A020904,MARKET CENTRE NKROFUL 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021001,CATH JHS NKROFUL,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021002,METH JHS NKROFUL,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021101,COMMUNITY CENTRE. TELEKU BOKAZO 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021102,COMMUNITY CENTRE.  TELEKU BOKAZO 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021103,D/A PRIM SCH. TELEKU BOKAZO,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021104,COMM SHED. TELEKU BOKAZO,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021105,D/A PRIM SCH ANWIA 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021106,D/A PRIM SCH ANWIA 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021201,D/A PRIM SCH SALMAN,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021202,ST. ANNS PREP. SCH. SALMAN,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021203,D/A PRIM SCH ALUKU,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021204,COMM SHED OBENGKROM,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021301,D/A PRIM EWIADE ASASETRE 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021302,D/A PRIM EWIADE ASASETRE 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021303,COMM SHED EBOWU ASASETRE 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021304,COMM SHED EBOWU ASASETRE 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021305,D/A PRIM SCH NVUMA,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021401,D/A JSS NZEZE. ASASETRE,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021402,ARABIC SCH NZEZE ASASETRE 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021403,ARABIC SCH NZEZE ASASETRE 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021404,D/A PRIM SCH BOMOAKPOLE,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021405,COMM SHED NVELESOLO,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021501,COMM SHED EKPOKU. TANDAN,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021502,CATH PRIM SCH TANDAN,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021503,CATH CH AKYEKYERE TANDAN,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021601,D/A PRIM SCH ADUBRIM 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021602,D/A PRIM SCH ADUBRIM 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021603,PRESBY PRIM SCH BETENASE AWUNASUAZO,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021604,D/C PRIM SCH MPEASEM,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021605,MARKET SHED NGABAWIE,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021606,CHIEF'S PALACE. PEBULU,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021701,D/A PRIM SCH AKROPONG 1,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021702,D/A PRIM SCH AKROPONG 2,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021703,D/A PRIM SCH NYAMEBEKYERE,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
A021704,D/A PRIM SCH. KOTOKUOM,Ghana,WESTERN ,ELLEMBELE,ELLEMBELE,
